"idp","mqd","biomass","zp","reserutile","troph_r","species","ownership"
735919,0.281643447979699,191.036599940376,348,175.500015258789,5.97647,"Épicéa commun","Forêts privées et autres - Hors PSG"
779031,0.385064149334013,138.750493657458,532,55.7999992370605,1.90394,"Sapin pectiné","Forêts domaniales RF"
730330,0.214144374238056,209.539771125493,550,25.1999988555908,1.72308,"Sapin pectiné","Forêts domaniales RF"
727441,0.267838680596222,501.041867796687,607,40,6.34463,"Hêtre","Forêts privées et autres - Hors PSG"
780158,0.566618671729655,182.141394479208,789,70.2000045776367,1.26484,"Épicéa commun","Autres forêts publiques RF"
740622,0.231639485792608,200.987434213398,671,21.75,1.89023,"Sapin pectiné","Autres forêts publiques RF"
764866,0.145444997768147,9.85005655598865,542,37.7999992370605,1.54694,"Sapin pectiné","Forêts domaniales RF"
779500,0.115307810190757,175.009688237023,406,62.9999961853027,2.60705,"Bouleau","Autres forêts publiques RF"
706866,0.287885479100735,312.285672007651,558,34.2999992370605,1.15955,"Sapin pectiné","Forêts privées et autres - En PSG"
765290,0.217671814251388,84.2336457168582,774,88.2000045776367,1.08672,"Épicéa commun","Autres forêts publiques RF"
725379,0.207143135440206,264.465150275462,774,49.5,2.01698,"Sapin pectiné","Autres forêts publiques RF"
733573,0.469489600808299,409.101533412702,624,20,3.58734,"Sapin pectiné","Autres forêts publiques RF"
746252,0.274868435522014,218.303627303791,607,24.5,1.23721,"Sapin pectiné","Forêts domaniales RF"
718813,0.106084201266,51.7793764685975,373,78,3.9796,"Saule","Forêts privées et autres - Hors PSG"
740017,0.23460482542811,250.456124882027,606,12.5999994277954,1.56135,"Pin sylvestre","Forêts domaniales RF"
759671,0.247527210661363,461.860713066156,656,39.25,3.51737,"Hêtre","Forêts privées et autres - Hors PSG"
748606,0.368245590830894,209.915061371809,831,22.3999996185303,1.69455,"Sapin pectiné","Forêts domaniales RF"
740228,0.550560672260877,298.508145451051,578,51.2000007629395,1.70849,"Sapin pectiné","Autres forêts publiques RF"
728455,0.185930356536381,135.711367129594,850,52,1.33361,"Épicéa commun","Autres forêts publiques RF"
730871,0.119300016698778,51.0651733827743,596,60.9000053405762,2.48679,"Chêne pédonculé","Forêts privées et autres - Hors PSG"
780475,0.276953985124384,491.416878069797,431,62.2999954223633,3.50985,"Épicéa commun","Forêts privées et autres - Hors PSG"
721100,0.35997883090412,309.458475103374,479,39.2000007629395,1.65699,"Sapin pectiné","Forêts domaniales RF"
721886,0.26236687956096,347.670079983394,470,78,4.88344,"Hêtre","Forêts privées et autres - Hors PSG"
719730,0.290240527111326,338.229310112989,515,20,0.913512,"Sapin pectiné","Autres forêts publiques RF"
712485,0.289074289966797,296.470363388647,707,20.4000015258789,4.26417,"Épicéa commun","Forêts privées et autres - Hors PSG"
759291,0.189969514462206,286.596411790622,791,68.75,1.56295,"Épicéa commun","Forêts domaniales RF"
735663,0.135870696735943,44.0811710473771,828,90,3.94076,"Frêne","Forêts privées et autres - Hors PSG"
708948,0.125361994312535,103.198078714062,741,29,1.63,"Grand érable","Autres forêts publiques RF"
716020,0.57346059350708,257.340011425281,771,41.2999992370605,1.88156,"Sapin pectiné","Forêts domaniales RF"
730305,0.439616031776418,647.184806853305,608,30,4.38578,"Épicéa commun","Forêts privées et autres - Hors PSG"
701794,0.134796651148026,38.5476603724017,861,21,1.79074,"Épicéa commun","Forêts domaniales RF"
750358,0.284599702213468,176.677422359802,409,58.5,2.71303,"Sapin pectiné","Autres forêts publiques RF"
753395,0.379728714178493,192.532408776851,758,42.7999992370605,3.92064,"Sapin pectiné","Forêts domaniales RF"
731596,0.234108412058979,280.193929729734,905,75.5999984741211,1.56969,"Sapin pectiné","Autres forêts publiques RF"
708635,0.265789285287433,339.387750903408,791,64,3.64664,"Épicéa commun","Forêts privées et autres - Hors PSG"
759101,0.17461740012588,166.147885479903,747,16.3499984741211,2.29889,"Sapin pectiné","Forêts domaniales RF"
722474,0.25154949240351,498.006396626485,505,69.6000061035156,2.15887,"Épicéa commun","Forêts privées et autres - Hors PSG"
739850,0.235838370757959,316.449335875425,780,140.400009155273,1.92486,"Sapin pectiné","Autres forêts publiques RF"
741764,0.238070398054429,285.744818112243,520,140.400009155273,1.86845,"Sapin pectiné","Autres forêts publiques RF"
700178,0.417921437583973,322.630545576177,697,36,1.75808,"Épicéa commun","Autres forêts publiques RF"
756677,0.26886650633403,194.711489979678,1019,74,1.64779,"Épicéa commun","Autres forêts publiques RF"
718233,0.2418917741059,126.540178830331,1002,57.6000022888184,1.33047,"Épicéa commun","Autres forêts publiques RF"
780851,0.174953193832913,70.7964168329734,687,117.450004577637,1.4342,"Épicéa commun","Forêts privées et autres - Hors PSG"
720936,0.0923098996281624,2.19836204060249,453,46.4000015258789,4.2939,"Bouleau","Forêts privées et autres - Hors PSG"
772014,0.214434153170439,371.582831889988,676,54,1.93243,"Épicéa commun","Forêts privées et autres - Hors PSG"
761588,0.450794194093046,237.06841238285,913,81.2000045776367,1.87398,"Épicéa commun","Forêts domaniales RF"
743729,0.387351946997948,282.24320333579,840,11.6000003814697,2.85351,"Sapin pectiné","Forêts domaniales RF"
758698,0.333042472078263,164.120550242089,1141,111.5,2.21461,"Épicéa commun","Autres forêts publiques RF"
717681,0.33036081993761,231.113696059487,857,17.4000015258789,1.43353,"Sapin pectiné","Forêts domaniales RF"
722743,0.199538687461738,131.588055038915,971,122.5,1.79378,"Épicéa commun","Autres forêts publiques RF"
749736,0.302279383993202,231.332390014166,835,75.1500015258789,1.33126,"Épicéa commun","Autres forêts publiques RF"
749958,0.294854061660824,304.611813233905,1008,64,1.73876,"Sapin pectiné","Forêts privées et autres - En PSG"
759660,0.295273660561706,251.125302103556,917,89.5999984741211,3.64956,"Hêtre","Forêts domaniales RF"
736841,0.369910071840807,110.275480012529,1074,1.75,2.37992,"Hêtre","Forêts privées et autres - Hors PSG"
713817,0.345944126051692,334.563334471506,745,70,1.98881,"Hêtre","Forêts domaniales RF"
718393,0.172977119946511,179.817194008086,698,92.8000030517578,2.03623,"Hêtre","Autres forêts publiques RF"
758636,0.161682154883181,192.936628531999,772,100.349998474121,6.5,"Hêtre","Forêts privées et autres - En PSG"
860369,0.148006614713728,33.5019481810055,384,107,2.84321,"Hêtre","Forêts domaniales RF"
865439,0.286876426164526,243.046159966443,391,90,1.67614,"Chêne rouvre","Autres forêts publiques RF"
853266,0.14265696328774,91.1890152613766,415,56.6999969482422,1.98676,"Bouleau","Autres forêts publiques RF"
821584,0.150415131085098,228.294696624314,379,104.400001525879,2.10541,"Sapin pectiné","Autres forêts publiques RF"
809215,0.209561994137989,188.327229386816,409,64,2.86538,"Hêtre","Forêts domaniales RF"
851110,0.129006624211182,106.754678244188,560,28,1.38254,"Sapin pectiné","Forêts domaniales RF"
857623,0.150399265191213,281.950227160493,410,60.9000053405762,2.10989,"Hêtre","Forêts domaniales RF"
805726,0.314806832788389,277.332755751392,372,24.5,2.16226,"Épicéa commun","Forêts privées et autres - En PSG"
851436,0.314672965161046,204.405816102618,355,68.4000015258789,5.55438,"Épicéa commun","Forêts privées et autres - Hors PSG"
871946,0.140263933390806,38.7990235717666,450,49,2.7064,"Bouleau","Forêts privées et autres - Hors PSG"
877940,0.386167552806027,241.529040862073,487,42,1.95579,"Hêtre","Forêts domaniales RF"
878954,0.202007698331953,59.2999302023063,287,50.3999977111816,1.85754,"Chêne rouvre","Forêts privées et autres - Hors PSG"
844965,0.354721524127924,284.387791616653,377,56.6999969482422,1.54959,"Pin sylvestre","Forêts domaniales RF"
838231,0.124752806211376,158.021965990799,362,49,4.66197,"Grand érable","Forêts domaniales RF"
877295,0.171369549977151,64.319775969797,280,90,4.26857,"Grand érable","Forêts privées et autres - Hors PSG"
874348,0.261013292342382,106.392772885654,601,62.9999961853027,0.868471,"Sapin pectiné","Forêts privées et autres - En PSG"
872525,0.384452798751608,325.81155176357,339,62.9999961853027,0.846669,"Pin sylvestre","Forêts domaniales RF"
845064,0.203234962202312,227.750465992135,274,39.2000007629395,1.41418,"Chêne rouvre","Forêts domaniales RF"
828967,0.336386625682035,269.303489822069,500,21,1.15034,"Sapin pectiné","Forêts domaniales RF"
825309,0.117763208718616,31.9087544770766,747,5.59999990463257,1.65847,"Épicéa commun","Forêts domaniales RF"
848166,0.253364871595815,263.82248729427,313,18.8999996185303,1.33142,"Pin sylvestre","Forêts privées et autres - Hors PSG"
873921,0.3035773848437,301.858198542905,238,90,1.25512,"Pin sylvestre","Forêts domaniales RF"
815411,0.353690467585254,272.158449747581,708,50.3999977111816,0.935053,"Sapin pectiné","Forêts domaniales RF"
858344,0.1694361952507,139.420915726878,778,28,1.27247,"Épicéa commun","Forêts domaniales RF"
824435,0.0975346112721354,31.4010260253162,371,44.0999984741211,2.64329,"Chêne rouvre","Forêts domaniales RF"
877474,0.544134096645942,264.919748432977,249,50.3999977111816,1.03698,"Chêne rouvre","Forêts domaniales RF"
856970,0.240204973229084,95.0398691231411,241,62.9999961853027,1.84829,"Épicéa commun","Forêts privées et autres - En PSG"
804111,0.331041991710663,17.3355416421202,647,35,1.31111,"Épicéa commun","Forêts privées et autres - En PSG"
808225,0.181943384495029,228.316506604889,346,56.6999969482422,4.34554,"Hêtre","Forêts domaniales RF"
837865,0.439361727526716,535.253895198921,299,62.9999961853027,5.23304,"Chêne rouvre","Forêts privées et autres - En PSG"
861150,0.429779236323772,346.228740814313,513,20,2.00603,"Sapin pectiné","Forêts domaniales RF"
847479,0.103629708927659,25.1676211561958,259,28,1.34829,"Pin sylvestre","Forêts domaniales RF"
854318,0.10846503278424,37.8861060956706,241,42,1.73645,"Épicéa commun","Forêts domaniales RF"
872756,0.418322593718071,304.1030791876,309,62.9999961853027,2.28322,"Hêtre","Forêts domaniales RF"
814953,0.234337717336041,188.291832706823,666,54,3.23749,"Sapin pectiné","Forêts domaniales RF"
844621,0.458124769514136,276.860215031039,819,50.3999977111816,1.88947,"Épicéa commun","Autres forêts publiques RF"
833131,0.448044122527722,229.911571895833,262,56.6999969482422,1.3453,"Épicéa commun","Forêts domaniales RF"
862973,0.218774188345707,22.0596521791447,202,62.9999961853027,4.70454,"Épicéa commun","Forêts domaniales RF"
829725,0.644251285390403,356.206161127876,337,62.9999961853027,2.68018,"Hêtre","Autres forêts publiques RF"
869208,0.231529864427611,199.990970090528,248,35,2.96569,"Épicéa commun","Forêts domaniales RF"
859350,0.182325895758831,176.577221036997,454,28,0.947826,"Pin sylvestre","Forêts domaniales RF"
872023,0.25868965542401,154.06180676471,523,40,1.89059,"Épicéa commun","Forêts domaniales RF"
876594,0.308201705987649,206.770682161427,548,20,2.49276,"Sapin pectiné","Autres forêts publiques RF"
811798,0.115926409319836,60.2146489177759,563,44.1000022888184,1.76514,"Sapin pectiné","Forêts domaniales RF"
874309,0.318159133318407,272.272662403629,303,50.3999977111816,1.21131,"Pin sylvestre","Autres forêts publiques RF"
809266,0.400795430683243,407.461172759106,364,16.7999992370605,2.00652,"Sapin pectiné","Forêts privées et autres - En PSG"
848797,0.228399109996165,259.641310328191,589,24.5,6.5,"Douglas","Autres forêts publiques RF"
835139,0.40221010840271,286.262492303728,598,14,3.35373,"Hêtre","Autres forêts publiques RF"
854075,0.425338777153573,747.601799375583,636,137.5,3.66787,"Hêtre","Autres forêts publiques RF"
854590,0.261401974003711,266.089302883896,260,56,2.00434,"Chêne rouvre","Autres forêts publiques RF"
822430,0.265213478022983,278.852248728691,466,39.2000007629395,2.60007,"Chêne rouvre","Autres forêts publiques RF"
838261,0.541533480270841,265.531274906471,361,56.6999969482422,3.27709,"Pin sylvestre","Autres forêts publiques RF"
822862,0.272717045774716,69.0306363299673,403,35,4.37834,"Épicéa commun","Forêts privées et autres - En PSG"
875472,0.333433355647621,355.073506990121,763,40,2.41717,"Hêtre","Autres forêts publiques RF"
864269,0.264222999653164,560.591376535274,621,49,6.05816,"Épicéa commun","Forêts privées et autres - Hors PSG"
869180,0.124150467290998,54.61084015163,591,100.799995422363,6.06161,"Sapin pectiné","Forêts privées et autres - En PSG"
835530,0.173314307571215,149.826374098223,692,21,2.1413,"Douglas","Autres forêts publiques RF"
