"idp","biomass","troph_r"
455612,266.530418414248,2.8062
312808,354.842184469459,2.11617
666727,208.415313450739,0.860049
270479,275.31886569407,1.32522
21126,49.0065983995695,2.93908
101387,21.9620276623649,1.55602
53825,93.1640039276801,2.39471
126582,5.22452815107718,1.29285
142824,329.727696936612,1.99157
25324,108.847218127487,0.604727
110408,156.958698585708,1.47272
5797,127.642799271117,5.54146
52931,228.800293462636,1.71199
118496,198.616288461548,1.72849
152713,470.200889812373,2.67001
19393,312.247705073428,2.48065
131791,185.190118407394,1.01283
48801,110.105119648424,3.88682
134320,42.695918982622,1.37861
14457,249.297324173195,2.17616
116291,451.832740522295,1.15179
14302,428.104226916027,3.31899
103914,84.2006214358334,2.44953
39083,172.909751217042,1.69397
103193,137.387248525365,2.0092
45891,107.784553111131,3.78719
112139,342.028527598468,2.89984
9175,262.578625584415,5.6988
130257,212.220734324214,5.44014
46926,150.798202396368,2.5254
35906,254.356247255521,2.21613
13676,165.411904634204,3.84967
134325,226.343572072582,2.33486
50790,131.104006734984,1.86988
2553,397.541445039606,4.5078
144641,47.1116585238611,3.34908
5677,294.008409152628,6.5
133605,372.394194687103,6.5
135870,244.36881923181,2.17876
16326,77.2706046277182,1.27766
6243,127.892550477764,3.16307
15400,170.261774537219,0.498273
146319,378.294160813762,3.2169
25019,146.373578349061,3.01881
138012,181.801643839912,1.86199
