"idp","pro_psg","biom","xl","yl","gr"
1026427,"privé - sans psg",163.013333460655,744200,2093600,"744200 2093600"
1028351,"privé - sans psg",106.206100721802,732200,2057600,"732200 2057600"
1005981,"privé - sans psg",127.386262005025,730200,2051600,"730200 2051600"
1012432,"privé - sans psg",170.666336499087,728200,2045600,"728200 2045600"
1019488,"privé - psg",253.646940393624,748200,2095600,"748200 2095600"
1014356,"privé - sans psg",39.5334606359261,740200,2071600,"740200 2071600"
1029747,"privé - sans psg",261.826330173421,730200,2041600,"730200 2041600"
1026699,"privé - sans psg",185.899280213809,736200,2049600,"736200 2049600"
1029727,"privé - sans psg",21.3238271256242,752200,2087600,"752200 2087600"
1008023,"privé - sans psg",232.723806867367,736200,2039600,"736200 2039600"
1020515,"privé - psg",36.7067479432368,752200,2077600,"752200 2077600"
1006115,"privé - sans psg",174.49255142512,754200,2073600,"754200 2073600"
1008358,"privé - sans psg",195.685729452397,756200,2059600,"756200 2059600"
1007522,"privé - sans psg",168.740388812671,770200,2061600,"770200 2061600"
1006791,"privé - sans psg",17.8399691611706,766200,2049600,"766200 2049600"
1007872,"privé - sans psg",302.102699405911,762200,2037600,"762200 2037600"
1005427,"privé - sans psg",249.827871848927,764200,2033600,"764200 2033600"
1011970,"privé - sans psg",242.191286458563,778200,2065600,"778200 2065600"
1024702,"privé - sans psg",310.780447564736,774200,2053600,"774200 2053600"
1006386,"privé - psg",209.770934072142,770200,2041600,"770200 2041600"
1002527,"privé - sans psg",275.826113344253,772200,2037600,"772200 2037600"
1023147,"publis - communales",239.592875876774,780200,2051600,"780200 2051600"
1016679,"privé - sans psg",4.62566697709909,778200,2045600,"778200 2045600"
1000969,"privé - sans psg",181.794683112188,776200,2039600,"776200 2039600"
1028126,"privé - sans psg",66.0838774539601,784200,2053600,"784200 2053600"
1015260,"privé - sans psg",347.212718666331,780200,2041600,"780200 2041600"
1025042,"privé - sans psg",33.6345790640643,778200,2035600,"778200 2035600"
1010926,"privé - sans psg",24.9925900136601,788200,2045600,"788200 2045600"
1008100,"privé - sans psg",43.7620088420893,664200,2033600,"664200 2033600"
1028046,"privé - sans psg",50.8744174236636,668200,2035600,"668200 2035600"
1027591,"privé - sans psg",16.7361375395284,670200,2031600,"670200 2031600"
1028844,"privé - sans psg",397.235515632304,672200,2027600,"672200 2027600"
1002340,"privé - sans psg",251.847220318662,684200,2043600,"684200 2043600"
1026315,"privé - sans psg",28.1251107452532,680200,2031600,"680200 2031600"
1030334,"privé - sans psg",63.0459836941383,678200,2025600,"678200 2025600"
1007202,"privé - sans psg",184.443584438733,686200,2039600,"686200 2039600"
1007546,"privé - sans psg",95.991194368136,682200,2027600,"682200 2027600"
1024959,"privé - sans psg",118.66464083963,680200,2021600,"680200 2021600"
1026765,"privé - psg",222.130230163786,690200,2041600,"690200 2041600"
1029230,"privé - sans psg",102.446222074109,688200,2035600,"688200 2035600"
1000135,"privé - sans psg",141.217142536733,682200,2017600,"682200 2017600"
1017716,"privé - sans psg",180.647892832824,680200,2011600,"680200 2011600"
1002139,"privé - sans psg",332.576722232751,678200,2005600,"678200 2005600"
1016968,"publics - domaniales",85.2049631181374,684200,2013600,"684200 2013600"
1005034,"privé - sans psg",23.4282710467005,680200,2001600,"680200 2001600"
1009768,"privé - sans psg",425.009535874035,696200,2039600,"696200 2039600"
1029500,"privé - sans psg",9.63873955306736,694200,2033600,"694200 2033600"
1022648,"privé - sans psg",219.219599158285,686200,2009600,"686200 2009600"
1030304,"publis - communales",281.324562102103,684200,2003600,"684200 2003600"
1027476,"privé - sans psg",197.388712355234,698200,2035600,"698200 2035600"
1006294,"privé - sans psg",303.906064259453,696200,2029600,"696200 2029600"
1011436,"privé - psg",220.426755062418,690200,2011600,"690200 2011600"
1018804,"privé - sans psg",116.914175628331,688200,2005600,"688200 2005600"
1004787,"privé - sans psg",577.683067121997,702200,2037600,"702200 2037600"
1031194,"privé - sans psg",344.45825713051,700200,2031600,"700200 2031600"
1003849,"privé - sans psg",252.778355687921,698200,2025600,"698200 2025600"
1018786,"privé - sans psg",110.932867047246,692200,2007600,"692200 2007600"
1024462,"publis - communales",424.668989496048,688200,1995600,"688200 1995600"
1025742,"publis - communales",72.9933787536127,686200,1989600,"686200 1989600"
1021128,"privé - sans psg",328.528890541229,704200,2033600,"704200 2033600"
1006589,"privé - sans psg",5.57469709538783,700200,2021600,"700200 2021600"
1003563,"privé - sans psg",157.349939607332,696200,2009600,"696200 2009600"
1023279,"publis - communales",266.666588920938,688200,1985600,"688200 1985600"
1007683,"privé - sans psg",101.544375393194,706200,2029600,"706200 2029600"
1014860,"privé - sans psg",348.616300140901,704200,2023600,"704200 2023600"
1003446,"privé - sans psg",79.4310663840003,698200,2005600,"698200 2005600"
1021810,"publis - communales",27.9021982469893,714200,2043600,"714200 2043600"
1014905,"privé - sans psg",468.111526596912,708200,2025600,"708200 2025600"
1031328,"privé - sans psg",386.052761688622,706200,2019600,"706200 2019600"
1011853,"privé - sans psg",300.449713067499,696200,1989600,"696200 1989600"
1021598,"privé - sans psg",655.526458104602,714200,2033600,"714200 2033600"
1023506,"privé - sans psg",287.748702877493,712200,2027600,"712200 2027600"
1015919,"privé - sans psg",269.720645428702,710200,2021600,"710200 2021600"
1017441,"publis - communales",205.812602634464,704200,2003600,"704200 2003600"
1018571,"privé - sans psg",96.1742404145888,702200,1997600,"702200 1997600"
1005718,"privé - sans psg",187.860465290789,698200,1985600,"698200 1985600"
1006752,"privé - sans psg",36.3706921634093,714200,2023600,"714200 2023600"
1014413,"privé - sans psg",267.045173615292,720200,2031600,"720200 2031600"
1024192,"privé - sans psg",1.44088912968995,718200,2025600,"718200 2025600"
1014942,"privé - sans psg",113.518973731562,708200,1995600,"708200 1995600"
1012154,"privé - sans psg",346.162228131132,724200,2033600,"724200 2033600"
1017613,"privé - psg",138.025643134586,720200,2021600,"720200 2021600"
1022273,"privé - sans psg",256.001708754717,716200,2009600,"716200 2009600"
1015834,"privé - sans psg",144.993011707826,724200,2023600,"724200 2023600"
1016855,"privé - sans psg",312.572065485629,722200,2017600,"722200 2017600"
1021261,"privé - sans psg",215.276031099593,720200,2011600,"720200 2011600"
1024934,"privé - sans psg",269.398495553321,718200,2005600,"718200 2005600"
1026639,"privé - sans psg",37.7159154073124,732200,2037600,"732200 2037600"
1029484,"privé - sans psg",100.052821112615,724200,2013600,"724200 2013600"
1001622,"privé - sans psg",94.1021906627722,720200,2001600,"720200 2001600"
1021399,"privé - sans psg",217.930594603277,734200,2033600,"734200 2033600"
1008827,"privé - sans psg",198.245532930075,728200,2015600,"728200 2015600"
1027777,"privé - sans psg",190.531935968242,724200,2003600,"724200 2003600"
1007831,"privé - sans psg",312.645390222725,722200,1997600,"722200 1997600"
1015783,"privé - sans psg",232.234336679147,740200,2041600,"740200 2041600"
1010330,"privé - sans psg",63.79251918599,736200,2029600,"736200 2029600"
1012426,"privé - sans psg",145.523389792956,730200,2011600,"730200 2011600"
1011991,"privé - sans psg",302.084043204498,724200,1993600,"724200 1993600"
1005334,"privé - sans psg",409.163342934083,734200,2013600,"734200 2013600"
1008544,"privé - sans psg",231.456074476779,728200,1995600,"728200 1995600"
1006193,"privé - sans psg",128.997368181609,746200,2029600,"746200 2029600"
1028066,"publis - communales",92.0576688772206,744200,2023600,"744200 2023600"
1003005,"publics - domaniales",133.165303993546,740200,2011600,"740200 2011600"
1028246,"privé - sans psg",113.578041225468,736200,1999600,"736200 1999600"
1031178,"privé - sans psg",83.60030860029,730200,1981600,"730200 1981600"
1010413,"privé - sans psg",152.852684898527,748200,2025600,"748200 2025600"
1009870,"privé - sans psg",273.412598157518,744200,2013600,"744200 2013600"
1027597,"privé - sans psg",131.400373328279,740200,2001600,"740200 2001600"
1025124,"privé - sans psg",197.308128953487,752200,2027600,"752200 2027600"
1023618,"publis - communales",154.669505358586,746200,2009600,"746200 2009600"
1019174,"privé - sans psg",82.0573128230633,756200,2029600,"756200 2029600"
1027905,"privé - sans psg",515.750138494472,756200,2019600,"756200 2019600"
1026500,"privé - sans psg",741.901212690876,754200,2013600,"754200 2013600"
1028989,"privé - sans psg",48.3786722453142,752200,2007600,"752200 2007600"
1031335,"publis - communales",97.38429901073,748200,1995600,"748200 1995600"
1006003,"privé - sans psg",210.782232158024,762200,2027600,"762200 2027600"
1022017,"privé - sans psg",318.656725053697,760200,2021600,"760200 2021600"
1028625,"privé - sans psg",230.549179312323,766200,2029600,"766200 2029600"
1013090,"privé - sans psg",39.7377795061003,250200,2281600,"250200 2281600"
1025689,"privé - sans psg",37.8925653916032,246200,2269600,"246200 2269600"
1016455,"privé - sans psg",151.894084201825,248200,2265600,"248200 2265600"
1006561,"privé - sans psg",188.097907947695,252200,2267600,"252200 2267600"
1001738,"privé - sans psg",138.584155925155,268200,2285600,"268200 2285600"
1030818,"privé - sans psg",253.960427753224,282200,2307600,"282200 2307600"
1026360,"privé - sans psg",137.301083901341,280200,2301600,"280200 2301600"
1024330,"privé - psg",171.8571244192,276200,2279600,"276200 2279600"
1001753,"privé - sans psg",174.695244049014,274200,2273600,"274200 2273600"
