"idp","rich","ser_86","pro_psg","elev","tcar","esspre_fr"
1002714,19,"J10","privé - sans psg",236,3,"F"
1016869,15,"C30","publis - communales",298,10,"F"
1024154,12,"D11","publics - domaniales",560,7,"R"
1021110,30,"C20","publis - communales",439,9,"F"
1009768,35,"G22","privé - sans psg",820,9,"R"
1012747,9,"F21","privé - sans psg",51,2,"R"
1009381,11,"G42","privé - sans psg",1110,7,"R"
1030875,19,"C51","publis - communales",234,10,"F"
1003005,35,"G30","publics - domaniales",1239,9,"R"
1009978,22,"B62","privé - psg",68,10,"F"
1018757,30,"C20","publis - communales",321,10,"F"
1024848,21,"B70","privé - psg",120,10,"F"
1020958,31,"C41","privé - sans psg",168,10,"F"
1007876,20,"C11","publis - communales",345,8,"F"
1016100,21,"F12","privé - sans psg",63,10,"F"
1022865,10,"H10","publis - communales",657,9,"R"
1023057,20,"F15","privé - sans psg",152,10,"F"
1017238,19,"B41","privé - sans psg",63,4,"F"
1024128,26,"B91","privé - psg",180,10,"F"
1029364,23,"C30","publis - communales",211,10,"F"
1030164,34,"G60","privé - sans psg",590,3,"F"
1006765,39,"G13","privé - sans psg",526,10,"F"
1001038,24,"B81","privé - psg",69,4,"F"
1000201,20,"F40","privé - sans psg",186,10,"F"
1004530,21,"G23","privé - sans psg",363,10,"F"
1005110,25,"J10","privé - sans psg",271,1,"R"
1014694,49,"G22","privé - sans psg",391,8,"F"
1024198,18,"B52","privé - psg",184,8,"R"
1009648,5,"D11","publics - domaniales",1017,8,"F"
1014689,15,"F22","publics - domaniales",7,8,"R"
1017774,9,"C11","privé - psg",332,9,"F"
1002224,21,"G22","privé - sans psg",840,10,"F"
1023382,33,"J22","privé - sans psg",403,4,"R"
1026594,26,"G80","privé - sans psg",594,7,"F"
1027152,23,"B92","privé - sans psg",272,3,"F"
1009520,4,"D11","privé - sans psg",895,10,"F"
1008949,28,"I12","privé - psg",1062,9,"R"
1017821,23,"B41","privé - sans psg",76,10,"F"
1000223,16,"A22","privé - sans psg",72,10,"F"
1021732,42,"B43","privé - sans psg",134,5,"F"
1004225,17,"G12","privé - sans psg",378,10,"F"
1004097,18,"D11","privé - sans psg",659,10,"F"
1025358,22,"B81","privé - sans psg",101,2,"F"
1006023,28,"B70","privé - psg",158,10,"F"
1007902,14,"F22","privé - sans psg",25,6,"R"
1005935,20,"J23","privé - sans psg",162,6,"F"
1006127,14,"G70","privé - sans psg",337,2,"R"
1030678,14,"C51","privé - sans psg",182,7,"F"
1014668,28,"G13","privé - sans psg",621,9,"F"
1018506,55,"G80","privé - sans psg",524,10,"F"
1023048,13,"J22","publics - domaniales",457,4,"F"
1005408,17,"G11","privé - sans psg",217,8,"F"
1009019,13,"B32","privé - sans psg",128,8,"F"
1024824,28,"J23","privé - psg",782,8,"F"
1015001,14,"A30","privé - sans psg",51,8,"F"
1003564,27,"G11","privé - sans psg",277,9,"F"
1005428,13,"F22","privé - psg",28,3,"R"
1023448,6,"A11","privé - sans psg",95,0,"F"
1025636,31,"A12","privé - sans psg",20,10,"F"
1023764,37,"G22","privé - sans psg",900,9,"R"
1015235,31,"G50","privé - sans psg",628,10,"F"
1000088,24,"I21","privé - psg",742,10,"F"
1015035,26,"B70","privé - psg",116,10,"F"
1016733,16,"B61","publics - domaniales",89,2,"F"
1007526,15,"B91","publics - domaniales",219,10,"F"
1017347,12,"G11","privé - sans psg",325,10,"F"
1009409,23,"C42","privé - sans psg",391,10,"F"
1011990,56,"G30","privé - psg",1004,10,"F"
1017684,19,"B53","privé - psg",291,7,"F"
1012684,13,"I21","publics - domaniales",1140,10,"F"
1001511,32,"I11","privé - sans psg",506,10,"F"
